temperature,pressure,viscosity,state,Reference,density,names,molarweight,m,sigma,epsilon_k,kappa_ab,epsilon_k_ab,mu,resd_entropy,molar_density,value,log_value,iupac_name,cas,family,red_resd_entropy
203.15,10000,0.109,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,15.916293211130093,11953.764936169257,0.109,-2.2164073967529934,butan-1-ol,71-36-3,n-alcohols,4.344120618670993
203.15,500000,0.11042,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,15.921248045231135,11956.971857382094,0.11042,-2.2034640021262386,butan-1-ol,71-36-3,n-alcohols,4.345472968536311
203.15,1000000,0.11245,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,15.926298728454322,11960.238567502602,0.11245,-2.1852466005768125,butan-1-ol,71-36-3,n-alcohols,4.346851479024726
213.15,10000,0.05752,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,15.370305631978216,11829.23235133993,0.05752,-2.855622565569346,butan-1-ol,71-36-3,n-alcohols,4.195101254132438
213.15,500000,0.05857,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,15.37518423917152,11832.514309140544,0.05857,-2.837532658880446,butan-1-ol,71-36-3,n-alcohols,4.19643279897254
213.15,1000000,0.06025,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,15.380156570468985,11835.857102521479,0.06025,-2.809252706611373,butan-1-ol,71-36-3,n-alcohols,4.197789924443002
225.65,10000,0.03131,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,14.712451783917526,11678.815759970106,0.03131,-3.4638177436438227,butan-1-ol,71-36-3,n-alcohols,4.015549619369008
225.65,500000,0.03263,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,14.717272281100104,11682.207618528766,0.03263,-3.422523168376908,butan-1-ol,71-36-3,n-alcohols,4.016865303927297
225.65,1000000,0.03432,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,14.72218455177241,11685.661873009652,0.03432,-3.3720270043623755,butan-1-ol,71-36-3,n-alcohols,4.018206036724122
236.15,10000,0.019187,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,14.177988518245646,11555.957414211742,0.019187,-3.953522312606175,butan-1-ol,71-36-3,n-alcohols,3.8696756484934363
236.15,500000,0.02094,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,14.182791254808851,11559.455621463041,0.02094,-3.866094073539746,butan-1-ol,71-36-3,n-alcohols,3.870986485549119
236.15,1000000,0.02176,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,14.187684693112306,11563.017742293709,0.02176,-3.827681856994395,butan-1-ol,71-36-3,n-alcohols,3.8723220783249146
252.15,10000,0.01072,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,13.390829235911045,11372.989141847393,0.01072,-4.535644123339481,butan-1-ol,71-36-3,n-alcohols,3.654831977092813
252.15,500000,0.01109,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,13.395658212229673,11376.675490924888,0.01109,-4.501711477619861,butan-1-ol,71-36-3,n-alcohols,3.6561499759078986
252.15,1000000,0.01152,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,13.400577182820907,11380.42842470563,0.01152,-4.463670623714392,butan-1-ol,71-36-3,n-alcohols,3.6574925373500986
272.9,10000,0.005341,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,12.412515168889817,11139.707349584412,0.005341,-5.232342377624504,butan-1-ol,71-36-3,n-alcohols,3.3878153888892935
272.9,500000,0.005581,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,12.417472717357464,11143.690210200464,0.005581,-5.188387307175841,butan-1-ol,71-36-3,n-alcohols,3.389168479601477
272.9,1000000,0.00583,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,12.422520871975319,11147.743779464783,0.00583,-5.144738278619736,butan-1-ol,71-36-3,n-alcohols,3.3905462999438623
295.15,10000,0.002872,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,11.411200657098705,10889.598824755032,0.002872,-5.85274662779616,butan-1-ol,71-36-3,n-alcohols,3.1145211639874515
295.15,500000,0.003005,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,11.416415297407653,10893.97879324197,0.003005,-5.8074777109949665,butan-1-ol,71-36-3,n-alcohols,3.115944424176527
295.15,1000000,0.003135,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,11.421722917701535,10898.434770565902,0.003135,-5.765126104897253,butan-1-ol,71-36-3,n-alcohols,3.117393061899449
324.05,10000,0.001383,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,10.180402899646799,10556.628749673564,0.001383,-6.583500226299516,butan-1-ol,71-36-3,n-alcohols,2.7785928266141533
324.05,500000,0.001475,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,10.186145467655951,10561.684728175836,0.001475,-6.519097289190354,butan-1-ol,71-36-3,n-alcohols,2.7801601769866156
324.05,1000000,0.001552,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,10.1919863596004,10566.825059799485,0.001552,-6.46821085722111,butan-1-ol,71-36-3,n-alcohols,2.78175436344641
343.75,10000,0.000958,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,9.386280086882048,10319.704538935754,0.000958,-6.950662779993413,butan-1-ol,71-36-3,n-alcohols,2.5618485609156565
343.75,500000,0.001005,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,9.392522800545006,10325.3612593508,0.001005,-6.902767737471098,butan-1-ol,71-36-3,n-alcohols,2.563552418766224
343.75,1000000,0.001039,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,9.398868636968999,10331.108978623666,0.001039,-6.869496566865046,butan-1-ol,71-36-3,n-alcohols,2.5652844224737774
384.35,10000,0.000463,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,7.864545597024287,9791.253977175635,0.000463,-7.67778350387804,butan-1-ol,71-36-3,n-alcohols,2.146513276132692
384.35,500000,0.000485,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,7.872280455243022,9798.704100777726,0.000485,-7.631361667026791,butan-1-ol,71-36-3,n-alcohols,2.1486243931261266
384.35,1000000,0.000512,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,7.8801294995850935,9806.260494425604,0.000512,-7.577185932924766,butan-1-ol,71-36-3,n-alcohols,2.1507666755602934
410.65,500000,0.0003424,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,6.9679917715668935,9417.706014350031,0.0003424,-7.979530913696687,butan-1-ol,71-36-3,n-alcohols,1.9018119560920266
410.65,1000000,0.0003648,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,6.977291435897942,9427.084635037338,0.0003648,-7.916161299764098,butan-1-ol,71-36-3,n-alcohols,1.9043501641428167
444.85,500000,0.0002334,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,5.875725631078732,8853.734477067432,0.0002334,-8.36275683811182,butan-1-ol,71-36-3,n-alcohols,1.6036938076620435
444.85,1000000,0.0002528,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,5.887915331913981,8866.981466308847,0.0002528,-8.282911895691571,butan-1-ol,71-36-3,n-alcohols,1.6070208091209517
473.15,500000,0.0001734,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,5.024619629930557,8299.327888302312,0.0001734,-8.659909493617832,butan-1-ol,71-36-3,n-alcohols,1.37139680991153
473.15,1000000,0.0001908,liquid,3,,butan-1-ol,74.073,3.66387,3.24366,232.69184,0.01435,2163.47788,0,5.040949457310943,8318.527379289353,0.0001908,-8.564284798950087,butan-1-ol,71-36-3,n-alcohols,1.3758537986639654
